orderNumber,warehouse/shop,,composite,composite qty,sku,price,cost,refund_qty
EB-2777,EB,2777,EB organic-fingerling-potatoes,-15,organic-fingerling-potatoes,3.49,-52.35,-15
EB-2774,EB,2774,EB organic-chocolate-milk,3,organic-chocolate-milk,4.99,4.99,1
EB-2772,EB,2772,EB organic-pure-almond-milk,2,organic-pure-almond-milk,14.99,14.99,1
EB-2771,EB,2771,EB lacroix-grapefruit-8pack,2,lacroix-grapefruit-8pack,5.49,10.98,2
LA-2246,LA,2246,LA FrozenBlueberries-16oz,2,FrozenBlueberries-16oz,4.99,9.98,2
EB-2769,EB,2769,EB organic-half-half-pint,3,organic-half-half-pint,4.59,9.18,2
EB-2769,EB,2769,EB reunion-mdz-malbec,5,reunion-mdz-malbec,11.99,11.99,1
EB-2768,EB,2768,EB organic-pure-almond-milk,2,organic-pure-almond-milk,14.99,14.99,1
SF-2596,SF,2596,SF smoked-applewood-bacon,1,smoked-applewood-bacon,10.49,10.49,1
SF-2594,SF,2594,SF fingerling-potato-halves-rosemary,1,fingerling-potato-halves-rosemary,5.29,5.29,1
SF-2592,SF,2592,SF Divina-Pepperoncini,1,Divina-Pepperoncini,4.99,4.99,1
EB-2764,EB,2764,EB organic-half-half-pint,3,organic-half-half-pint,4.59,4.59,1
EB-2761,EB,2761,EB mission-valley-evoo,1,mission-valley-evoo,6.99,6.99,1
EB-2760,EB,2760,EB nuts-organic-dried-apple,1,nuts-organic-dried-apple,4.99,4.99,1
SF-2587,SF,2587,SF organic-pure-almond-milk,1,organic-pure-almond-milk,14.99,14.99,1
EB-2758,EB,2758,EB organic-dry-roasted-peanuts,4,organic-dry-roasted-peanuts,4.99,9.98,2
SF-2586,SF,2586,SF who-gives-bamboo-paper-towel-roll,2,who-gives-bamboo-paper-towel-roll,4.49,8.98,2
EB-2755,EB,2755,EB st-benoit-lemon-yogurt-23oz,1,st-benoit-lemon-yogurt-23oz,7.99,7.99,1
SF-2584,SF,2584,SF house-kombucha-lavender-lemonade,1,house-kombucha-lavender-lemonade,3.69,3.69,1
SF-2584,SF,2584,SF House-kombucha-hemp-peach,1,House-kombucha-hemp-peach,3.69,3.69,1
SF-2580,SF,2580,SF Santa-cruz-raspberry-lemonade,1,Santa-cruz-raspberry-lemonade,3.99,3.99,1
SF-2580,SF,2580,SF bella-vista-dark-roast,2,bella-vista-dark-roast,12.99,12.99,1
EB-2753,EB,2753,EB nounos-mixed-berries,3,nounos-mixed-berries,2.59,2.59,1
EB-2752,EB,2752,EB organic-trilogy-kombucha,1,organic-trilogy-kombucha,3.29,3.29,1
EB-2752,EB,2752,EB japanese-sweet-potatoes-1Ib,1,japanese-sweet-potatoes-1Ib,2.99,2.99,1
LA-2230,LA,2230,LA organic-persian-cucumbers-1each,2,organic-persian-cucumbers-1each,0.99,1.98,2
SF-2578,SF,2578,SF BourbonVanillaCoconutYogurt,1,BourbonVanillaCoconutYogurt,4.49,4.49,1
LA-2228,LA,2228,LA organic-cage-free-brown-eggs,1,organic-cage-free-brown-eggs,5.99,5.99,1
SF-2575,SF,2575,SF organic-fingerling-potatoes,-15,organic-fingerling-potatoes,3.49,-52.35,-15
EB-2749,EB,2749,EB organic-almond-milk-pint,1,organic-almond-milk-pint,8.99,8.99,1
EB-2749,EB,2749,EB nuts-chex-mix-8oz,1,nuts-chex-mix-8oz,3.99,3.99,1
EB-2747,EB,2747,EB bella-vista-dark-roast,1,bella-vista-dark-roast,12.99,12.99,1
EB-2747,EB,2747,EB organic-dry-roasted-peanuts,4,organic-dry-roasted-peanuts,4.99,4.99,1
EB-2745,EB,2745,EB organic-cauliflower,1,organic-cauliflower,3.49,3.49,1
EB-2743,EB,2743,EB organic-strawberries,1,organic-strawberries,6.49,6.49,1
EB-2743,EB,2743,EB pasta-mia-five-cheese-ravioli,1,pasta-mia-five-cheese-ravioli,8.99,8.99,1
EB-2741,EB,2741,EB organic-banana,8,organic-banana,0.49,0.98,2
EB-2740,EB,2740,EB Santa-cruz-raspberry-lemonade,1,Santa-cruz-raspberry-lemonade,3.99,3.99,1
EB-2738,EB,2738,EB soy-sauce,1,soy-sauce,4.99,4.99,1
EB-2738,EB,2738,EB organic-green-onion,1,organic-green-onion,1.99,1.99,1
SF-2567,SF,2567,SF organic-banana,9,organic-banana,0.49,1.47,3
SF-2567,SF,2567,SF la-princesita-8in-flour-tortillas,1,la-princesita-8in-flour-tortillas,2.99,2.99,1
SF-2567,SF,2567,SF organic-navel-orange,3,organic-navel-orange,2.29,6.87,3
SF-2567,SF,2567,SF organic-mango,4,organic-mango,1.99,7.96,4
SF-2567,SF,2567,SF Organic-arugula,1,Organic-arugula,3.09,3.09,1
LA-2217,LA,2217,LA trimmed-green-beans-11oz,1,trimmed-green-beans-11oz,3.99,3.99,1
EB-2736,EB,2736,EB nounos-mixed-berries,3,nounos-mixed-berries,2.59,5.18,2
EB-2736,EB,2736,EB petit-pot-coconut-rice-pudding,2,petit-pot-coconut-rice-pudding,2.69,5.38,2
EB-2736,EB,2736,EB organic-chocolate-milk,3,organic-chocolate-milk,4.99,4.99,1
EB-2733,EB,2733,EB organic-zucchini,3,organic-zucchini,0.89,2.67,3
EB-2733,EB,2733,EB butchers-son-chipotle,1,butchers-son-chipotle,7.99,7.99,1
EB-2725,EB,2725,EB organic-chocolate-milk,3,organic-chocolate-milk,4.99,4.99,1
SF-2553,SF,2553,SF PorkTenderloin-16oz,1,PorkTenderloin-16oz,12.99,12.99,1
EB-2720,EB,2720,EB La-Fermiere-Mango-Passion-Fruit,1,La-Fermiere-Mango-Passion-Fruit,3.49,3.49,1
EB-2715,EB,2715,EB frontier-nat-taco-seasoning,1,frontier-nat-taco-seasoning,0.78,0.78,1
EB-2715,EB,2715,EB nuts-peanut-butter-pretzels,1,nuts-peanut-butter-pretzels,3.99,3.99,1
